title,link,published,description,source,fetched_at,ai_summary,sentiment,sentiment_reason,category
Pope Leo calls for global leaders to choose peace in his first Easter Mass,https://www.bbc.com/news/articles/crk1zgjj7y1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 12:35:36 GMT",Pope Leo XIV addressed thousands of worshippers gathered in St Peter's Square on Easter Sunday in his first address as pontiff.,feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
Cambodia unveils statue to honour famous landmine-sniffing rat,https://www.bbc.com/news/articles/c0rx7xzd10xo?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 01:09:11 GMT",The statue honours the late African giant pouched rat who sniffed out more than 100 landmines during his lifetime.,feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
Artemis's stunning Moon pictures - science or holiday photos?,https://www.bbc.com/news/articles/clye6j0g840o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 15:03:19 GMT",The story behind the beautiful pictures beamed back to Earth from the Artemis II astronauts.,feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
AI videos fuel rhetoric as Orbán bids for four more years in Hungary,https://www.bbc.com/news/articles/c5yj97yd6v5o?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 23:15:48 GMT","Videos have targeted Viktor Orbán's election rival, who could unseat him after 16 years in office.",feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
Man charged over fatal shooting of baby in pram in New York,https://www.bbc.com/news/articles/cx267dnex7ko?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 23:28:09 GMT",Two men have been arrested over the shooting of a seven-month-old baby in Williamsburg.,feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
German males under 45 may need military approval for long stays abroad,https://www.bbc.com/news/articles/cvg3nr83xyvo?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 21:16:42 GMT","Under the law, travel approvals must generally be granted and it remains unclear how the rule would be enforced if breached.",feeds.bbci.co.uk,2026-04-06 03:00:02,Analysis unavailable,neutral,N/A,general
Trump issues expletive-laden threat to Iran over Hormuz Strait blockage,https://www.bbc.com/news/articles/cvg0q6wdzp1o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:01:55 GMT",The US president says he will destroy Iranian power plants and bridges if the vital waterway is not reopened.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
How rescue of US airman in remote part of Iran unfolded,https://www.bbc.com/news/articles/cx2vpz1kwreo?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 21:19:02 GMT",The operation to extract him from the ground in hostile territory was hugely complex and involved multiple US government agencies.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Trump declares victory after rescue but threats to US operation in Iran still loom,https://www.bbc.com/news/articles/cy01vg7x5ppo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:23:16 GMT",The rescue could impact how Trump views a ground operation to take Kharg Island or to seize enriched uranium sites.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Hungary alleges plot to blow up gas pipeline ahead of election,https://www.bbc.com/news/articles/cj60x206dx1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 19:17:42 GMT","The incident comes a week before the polls, and follow warnings of a potential operations staged to influence voters.",feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Pope Leo calls for global leaders to choose peace in his first Easter Mass,https://www.bbc.com/news/articles/crk1zgjj7y1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 12:35:36 GMT",Pope Leo XIV addressed thousands of worshippers gathered in St Peter's Square on Easter Sunday in his first address as pontiff.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Cambodia unveils statue to honour famous landmine-sniffing rat,https://www.bbc.com/news/articles/c0rx7xzd10xo?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 01:09:11 GMT",The statue honours the late African giant pouched rat who sniffed out more than 100 landmines during his lifetime.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Artemis's stunning Moon pictures - science or holiday photos?,https://www.bbc.com/news/articles/clye6j0g840o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 15:03:19 GMT",The story behind the beautiful pictures beamed back to Earth from the Artemis II astronauts.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
AI videos fuel rhetoric as Orbán bids for four more years in Hungary,https://www.bbc.com/news/articles/c5yj97yd6v5o?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 23:15:48 GMT","Videos have targeted Viktor Orbán's election rival, who could unseat him after 16 years in office.",feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
Man charged over fatal shooting of baby in pram in New York,https://www.bbc.com/news/articles/cx267dnex7ko?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 23:28:09 GMT",Two men have been arrested over the shooting of a seven-month-old baby in Williamsburg.,feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
German males under 45 may need military approval for long stays abroad,https://www.bbc.com/news/articles/cvg3nr83xyvo?at_medium=RSS&at_campaign=rss,"Sat, 04 Apr 2026 21:16:42 GMT","Under the law, travel approvals must generally be granted and it remains unclear how the rule would be enforced if breached.",feeds.bbci.co.uk,2026-04-06 04:00:02,Analysis unavailable,neutral,N/A,general
How rescue of US airman in remote part of Iran unfolded,https://www.bbc.com/news/articles/cx2vpz1kwreo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 12:22:21 GMT",The operation to extract him from the ground in hostile territory was hugely complex and involved multiple US government agencies.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Trump declares victory after rescue but threats to US operation in Iran still loom,https://www.bbc.com/news/articles/cy01vg7x5ppo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:23:16 GMT",The rescue could impact how Trump views a ground operation to take Kharg Island or to seize enriched uranium sites.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
'Really feeling the love' - Savannah Guthrie returns to NBC as search for mother goes on,https://www.bbc.com/news/articles/c04xqglg7xgo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 11:48:29 GMT","Nancy Guthrie disappeared from her home in Tucson, Arizona, in what authorities believe was an abduction.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Emergency jabs after 100 children die of suspected measles in a month in Bangladesh,https://www.bbc.com/news/articles/cevkz2z7dm8o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 09:59:40 GMT","More than 100 people, mostly children, have been killed by measles since mid-March, officials suspect.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
DR Congo agrees to take deportees from the US,https://www.bbc.com/news/articles/c20d35eejxgo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 13:25:37 GMT",The country will start receiving deportees from this month but has not said how many they will accept.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
US Secret Service investigates reports of gunfire near White House,https://www.bbc.com/news/articles/cge0213dyj5o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:40:04 GMT","Officials said ""a heightened security posture is in place"", but no injuries were reported and no suspects had been identified.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Young gray whale dies after swimming up river in Washington state,https://www.bbc.com/news/articles/cew7n4glz54o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 11:25:32 GMT","Hunger is a likely reason the whale, dubbed Willapa Willy, travelled inland, experts say.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Nigerian army rescues 31 held after Easter church attack,https://www.bbc.com/news/articles/cgld111d9jpo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 09:08:45 GMT","Five civilians were killed by the gunmen and their bodies were recovered at the scene, the army said.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Hungary alleges plot to blow up gas pipeline ahead of election,https://www.bbc.com/news/articles/cj60x206dx1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 19:17:42 GMT",It comes a week before votes are cast and follows warnings of so-called false flag operations blamed on Ukraine.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Pope Leo calls for global leaders to choose peace in his first Easter Mass,https://www.bbc.com/news/articles/crk1zgjj7y1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 12:35:36 GMT",Pope Leo XIV addressed thousands of worshippers gathered in St Peter's Square on Easter Sunday in his first address as pontiff.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
How rescue of US airman in remote part of Iran unfolded,https://www.bbc.com/news/articles/cx2vpz1kwreo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 12:22:21 GMT",The operation to extract him from the ground in hostile territory was hugely complex and involved multiple US government agencies.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Trump declares victory after rescue but threats to US operation in Iran still loom,https://www.bbc.com/news/articles/cy01vg7x5ppo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:23:16 GMT",The rescue could impact how Trump views a ground operation to take Kharg Island or to seize enriched uranium sites.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
'Really feeling the love' - Savannah Guthrie returns to NBC as search for mother goes on,https://www.bbc.com/news/articles/c04xqglg7xgo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 11:48:29 GMT","Nancy Guthrie disappeared from her home in Tucson, Arizona, in what authorities believe was an abduction.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Emergency jabs after 100 children die of suspected measles in a month in Bangladesh,https://www.bbc.com/news/articles/cevkz2z7dm8o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 09:59:40 GMT","More than 100 people, mostly children, have been killed by measles since mid-March, officials suspect.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
DR Congo agrees to take deportees from the US,https://www.bbc.com/news/articles/c20d35eejxgo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 13:25:37 GMT",The country will start receiving deportees from this month but has not said how many they will accept.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
US Secret Service investigates reports of gunfire near White House,https://www.bbc.com/news/articles/cge0213dyj5o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 00:40:04 GMT","Officials said ""a heightened security posture is in place"", but no injuries were reported and no suspects had been identified.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Young gray whale dies after swimming up river in Washington state,https://www.bbc.com/news/articles/cew7n4glz54o?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 11:25:32 GMT","Hunger is a likely reason the whale, dubbed Willapa Willy, travelled inland, experts say.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Nigerian army rescues 31 held after Easter church attack,https://www.bbc.com/news/articles/cgld111d9jpo?at_medium=RSS&at_campaign=rss,"Mon, 06 Apr 2026 09:08:45 GMT","Five civilians were killed by the gunmen and their bodies were recovered at the scene, the army said.",feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Hungary alleges plot to blow up gas pipeline ahead of election,https://www.bbc.com/news/articles/cj60x206dx1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 19:17:42 GMT",It comes a week before votes are cast and follows warnings of so-called false flag operations blamed on Ukraine.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
Pope Leo calls for global leaders to choose peace in his first Easter Mass,https://www.bbc.com/news/articles/crk1zgjj7y1o?at_medium=RSS&at_campaign=rss,"Sun, 05 Apr 2026 12:35:36 GMT",Pope Leo XIV addressed thousands of worshippers gathered in St Peter's Square on Easter Sunday in his first address as pontiff.,feeds.bbci.co.uk,2026-04-06 14:30:27,Analysis unavailable,neutral,N/A,general
